film_id,country_id
flm0000286,ctr000001
flm0000287,ctr000001
flm0000288,ctr000001
flm0000289,ctr000001
flm0000290,ctr000001
flm0000291,ctr000001
flm0000292,ctr000001
flm0000293,ctr000001
flm0000294,ctr000001
flm0000295,ctr000001
flm0000296,ctr000001
flm0000297,ctr000001
flm0000298,ctr000001
flm0000299,ctr000001
flm0000300,ctr000001
flm0000301,ctr000001
flm0000302,ctr000001
flm0000303,ctr000001
flm0000304,ctr000001
flm0000305,ctr000001
flm0000306,ctr000001
flm0000307,ctr000001
flm0000308,ctr000001
flm0000309,ctr000001
flm0000310,ctr000001
flm0000311,ctr000001
flm0000312,ctr000001
flm0000313,ctr000001
flm0000314,ctr000001
flm0000315,ctr000001
flm0000316,ctr000001
flm0000317,ctr000001
flm0000318,ctr000001
flm0000319,ctr000001
flm0000320,ctr000001
flm0000321,ctr000001
flm0000322,ctr000001
flm0000323,ctr000001
flm0000324,ctr000001
flm0000325,ctr000001
flm0000326,ctr000001
flm0000327,ctr000001
flm0000328,ctr000001
flm0000329,ctr000001
flm0000330,ctr000001
flm0000331,ctr000001
flm0000332,ctr000001
flm0000333,ctr000001
flm0000334,ctr000001
flm0000335,ctr000001
flm0000336,ctr000001
flm0000337,ctr000001
flm0000338,ctr000001
flm0000339,ctr000001
flm0000340,ctr000001
flm0000341,ctr000001
flm0000342,ctr000001
flm0000343,ctr000001
flm0000344,ctr000001
flm0000345,ctr000001
flm0000346,ctr000001
flm0000347,ctr000001
flm0000348,ctr000001
flm0000349,ctr000001
flm0000350,ctr000001
flm0000351,ctr000001
flm0000352,ctr000001
flm0000353,ctr000001
flm0000354,ctr000001
flm0000355,ctr000001
flm0000356,ctr000001
flm0000357,ctr000001
flm0000358,ctr000001
flm0000359,ctr000001
flm0000360,ctr000001
flm0000361,ctr000001
flm0000362,ctr000001
flm0000363,ctr000001
flm0000364,ctr000001
flm0000365,ctr000001
flm0000366,ctr000001
flm0000367,ctr000001
flm0000368,ctr000001
flm0000369,ctr000001
flm0000370,ctr000001
flm0000372,ctr000001
flm0000373,ctr000001
flm0000374,ctr000001
flm0000375,ctr000001
flm0000376,ctr000001
flm0000377,ctr000001
flm0000378,ctr000001
flm0000379,ctr000001
flm0000380,ctr000001
flm0000381,ctr000001
flm0000382,ctr000001
flm0000383,ctr000001
flm0000384,ctr000001
flm0000385,ctr000001
flm0000386,ctr000001
flm0000387,ctr000001
flm0000388,ctr000001
flm0000389,ctr000001
flm0000390,ctr000001
flm0000391,ctr000001
