title (original),IMDB id,film_id,IMDB_url,Directors,Writers,Actors,Country of origin,Duration (min),Year of Production
По закавказскому заповеднику,,flm0000929,,,,,,,
Советский спорт № 12 1950 г.,,flm0000930,,,,,,,
Киносборник №24 1950 г.,,flm0000931,,,,,,,
Юность,tt1264970,flm0000932,https://www.imdb.com/title/tt1264970/,,,,,,
Киносборник № 23 1950 г.,,flm0000933,,,,,,,
Новая Чехословакия,tt0400698,flm0000934,https://www.imdb.com/title/tt0400698/,,,,,,
Пребывание в СССР делегации крестьян Чехословакии,,flm0000935,,,,,,,
Кинодокументы о В.И. Ленине,,flm0000936,,,,,,,
Падение Берлина 2 серия,tt0041727,flm0000937,https://www.imdb.com/title/tt0041727/,,,,,,
Новости дня № 3 1950 г.,,flm0000938,,,,,,,
Падение Берлина 1 серия,tt0041727,flm0000939,https://www.imdb.com/title/tt0041727/,,,,,,
Три встречи,tt0040901,flm0000940,https://www.imdb.com/title/tt0040901/,,,,,,
Новости дня № 2 1950 г.,,flm0000941,,,,,,,
Новости дня № 4 1950 г.,,flm0000942,,,,,,,
Завод имени Сталина,,flm0000943,,,,,,,
Новости дня № 5 1950 г.,,flm0000944,,,,,,,
Советский спорт № 1 1950 г.,,flm0000945,,,,,,,
Пионерия № 1 1950 г.,,flm0000946,,,,,,,
Женщины в борьбе за мир,,flm0000947,,,,,,,
Новости дня № 6 1950 г.,,flm0000948,,,,,,,
Новости дня № 7 1950 г.,,flm0000949,,,,,,,
Новости дня № 8 1950 г.,,flm0000950,,,,,,,
Die Buntkarierten,tt0041215,flm0000951,https://www.imdb.com/title/tt0041215/,,,,,,
В краю вулканов,,flm0000952,,,,,,,
Долина гейзеров,,flm0000953,,,,,,,
За мир и демократию,,flm0000954,,,,,,,
Кубанские казаки,tt0041562,flm0000955,https://www.imdb.com/title/tt0041562/,,,,,,
Научно-популярные и мультипликационные фильмы,,flm0000956,,,,,,,
От Теберды до Клухора,,flm0000957,,,,,,,
Наступление на засуху,,flm0000958,,,,,,,
Новости дня № 9 1950 г.,,flm0000959,,,,,,,
Советский спорт № 2 1950 г.,,flm0000960,,,,,,,
Московский стадион Динамо,,flm0000961,,,,,,,
Незримые помощники,,flm0000962,,,,,,,
Памятники древнерусской архитектуры,,flm0000963,,,,,,,
Сборник цветных мультипликационных фильмов,,flm0000964,,,,,,,
Школа учителей,,flm0000965,,,,,,,
Лесная быль,tt5229214,flm0000966,https://www.imdb.com/title/tt5229214/,,,,,,
Unser täglich Brot,tt0042008,flm0000967,https://www.imdb.com/title/tt0042008/,,,,,,
Первенство мира по конькам для женщин,,flm0000968,,,,,,,
Desert Victory,tt0035796,flm0000969,https://www.imdb.com/title/tt0035796/,,,,,,
Садриддин Айни,,flm0000970,,,,,,,
У них есть Родина,tt0166742,flm0000971,https://www.imdb.com/title/tt0166742/,,,,,,
ЦТКА,,flm0000972,,,,,,,
Страна голосует,,flm0000973,,,,,,,
Москва голосует,,flm0000974,,,,,,,
Сборник мультипликационных фильмов,,flm0000975,,,,,,,
Le point du jour,tt0041756,flm0000976,https://www.imdb.com/title/tt0041756/,,,,,,
Спорт смелых,,flm0000977,,,,,,,
Алитет уходит в горы,tt0041110,flm0000978,https://www.imdb.com/title/tt0041110/,,,,,,
Советский Казахстан,,flm0000979,,,,,,,
Главное адмиралтейство в Ленинграде,,flm0000980,,,,,,,
Rotation,tt0041826,flm0000981,https://www.imdb.com/title/tt0041826/,,,,,,
Обновление земли,,flm0000982,,,,,,,
Egy asszony elindul,tt0039350,flm0000983,https://www.imdb.com/title/tt0039350/,,,,,,
Александр Попов,tt0041105,flm0000984,https://www.imdb.com/title/tt0041105/,,,,,,
Знание в массы,,flm0000985,,,,,,,
Соперники,,flm0000986,,,,,,,
Ladri di biciclette,tt0040522,flm0000987,https://www.imdb.com/title/tt0040522/,,,,,,
Kind der Donau,tt0042645,flm0000988,https://www.imdb.com/title/tt0042645/,,,,,,
Встреча чемпионов,,flm0000989,,,,,,,
Кукушка и скворец,tt5873866,flm0000990,https://www.imdb.com/title/tt5873866/,,,,,,
Памяти Суворова,,flm0000991,,,,,,,
Szabóné,tt0133223,flm0000992,https://www.imdb.com/title/tt0133223/,,,,,,
Щит Джургая,tt0263501,flm0000993,https://www.imdb.com/title/tt0263501/,,,,,,
Сталевары,,flm0000994,,,,,,,
Аскания Нова,,flm0000995,,,,,,,
Город на Волге,,flm0000996,,,,,,,
У Белого моря,,flm0000997,,,,,,,
"Le comte de Monte Cristo, 1ère époque: Edmond Dantès",tt0035752,flm0000998,https://www.imdb.com/title/tt0035752/,,,,,,
Ленинградская здравница,,flm0000999,,,,,,,
В стране озер и водопадов,,flm0001000,,,,,,,
В гостях у старейших,,flm0001001,,,,,,,
"Le comte de Monte Cristo, 2ème époque: Le châtiment",tt1104767,flm0001002,https://www.imdb.com/title/tt1104767/,,,,,,
Наши крылья,,flm0001003,,,,,,,
Авиационный спорт,,flm0001004,,,,,,,
Заговор обреченных,tt0043156,flm0001005,https://www.imdb.com/title/tt0043156/,,,,,,
Figaros Hochzeit,tt0037696,flm0001006,https://www.imdb.com/title/tt0037696/,,,,,,
Две победы,,flm0001007,,,,,,,
Жуковский,tt0042959,flm0001008,https://www.imdb.com/title/tt0042959/,,,,,,
