person_id,person_name,IMDb_ID
per0000179,Nikolai Rozhkov,nm0747606
per0000180,Iosif Sklyut,nm0804499
per0000181,Viktor Shklovskiy,nm0794531
per0000182,Marietta Shaginyan,nm7922801
per0000183,Aleksandr Rou,nm0745498
per0000184,Ilja Ehrenburg,nm0251280
per0000185,Fyodor Knorre,nm0461390
per0000186,Gottfried Reinhardt,nm0718106
per0000187,Felix Salten,nm0759041
per0000188,Larry Morey,nm0604392
per0000189,Perce Pearce,nm0668998
per0000190,Miles Malleson,nm0539942
per0000191,Lajos Biró,nm0083742
per0000192,Miklós Rózsa,nm0000067
per0000193,Mikhail Rozenfeld,nm0747573
per0000194,Osip Brik,nm0109283
per0000195,Eleanor Smith,nm0808114
per0000196,Frederick Kohner,nm0463430
per0000197,Michael Wilson,nm0933858
per0000198,Semyon Polotsky,nm0689825
per0000199,Matvey Tevelev,nm0856653
per0000200,Vladimir Dobrovolsky,nm1158805
per0000201,Carlo Collodi,nm0172830
per0000202,Nikolay Leshchenko,nm0503950
per0000203,Lyudmila Tolstaya,nm0866231
per0000204,Dmitriy Tarasov,nm0850277
per0000205,Zinoviya Markina,nm0548495
per0000206,Ye. Tarakhova,nm0850179
per0000207,Vsevolod Kochetov,nm0462498
per0000208,Vladimir Mass,nm0557066
per0000209,Galina Vladychina,nm0900558
per0000210,Olga Nechayeva,nm0623925
per0000211,Simon Chiqovani,nm0158093
per0000212,Vladimir Orlov,nm1894080
per0000213,Davit Guramishvili,nm2299619
per0000214,Igor Chekin,nm0155015
per0000215,Leonid Lyubashevsky,nm0529376
per0000216,Leonid Rakhmanov,nm0707561
per0000217,Andrey Mikhaylovsky,nm0586474
per0000218,Nikolay Shpanov,nm7160302
per0000219,Mikheil Chiaureli,nm0157102
per0000220,Z. Ginzburg,nm13814114
per0000221,Dmitriy Vasilev,nm0890565
per0000222,Vsevolod Pudovkin,nm0699877
per0000223,S. Shanshiashvili,nm0788384
per0000224,Lev Kassil,nm0440868
per0000225,Serafima Roshal,nm0742916
per0000226,Vera Stroyeva,nm0835224
per0000227,Fyodor Dostoevsky,nm0234502
per0000228,Burt Beck,nm6641286
per0000229,Lillian Hellman,nm0375484
per0000230,Aleksei Chapygin,nm0152707
per0000231,Vsvevolod Popov,nm7911378
per0000232,Jack London,nm0518711
per0000233,Yuri Tarich,nm0850432
per0000234,Byambyn Rinchen,nm2745791
per0000235,Mariya Smirnova,nm0807077
per0000236,Mikhail Papava,nm0660353
per0000237,Mikhail Kalinin,nm0435813
per0000238,Boris Shelontsev,nm0791283
per0000239,Aleksei Tolstoy,nm0866239
per0000240,Aleksandr Filimonov,nm0276962
per0000241,Yuri German,nm0314533
per0000242,Arkadiy Gaydar,nm0301469
per0000243,Gabriel Ureklyan,nm1246051
per0000244,Vladimir Shnejderov,nm0794638
per0000245,Boris Brodskiy,nm0110981
per0000246,Samuil Bolotin,nm8521133
per0000247,Aleksandr Chirkov,nm6953385
per0000248,Paul-Eerik Rummo,nm1451157
per0000249,Lidiya Stepanova,nm0994431
per0000250,Vsevolod Ivanov,nm0412100
per0000251,Albert Maltz,nm0540816
per0000252,Elliot Paul,nm0666822
per0000253,Yuliya Solntseva,nm0813216
per0000254,Fridrikh Ermler,nm0259611
per0000255,Yuriy Slyozkin,nm4649043
per0000256,Nikolai Tikhonov,nm0863142
per0000257,Georg Jacoby,nm0414985
per0000258,János Vaszary,nm0903160
per0000259,Herbert Witt,nm0936868
per0000260,Aleksandr Novogrudsky,nm1137524
per0000261,Stepan Zlobin,nm0957439
per0000262,Galina Spevak,nm0818412
per0000263,Boris Starshov,nm0686318
per0000264,S.S. Bryukhonenko,nm2143905
per0000265,Boris Galin,nm8788174
per0000266,N. Denisov,nm8788175
per0000267,Nikolay Gogol,nm0324690
per0000268,Nikolai Sadkovich,nm0755509
per0000269,Aron Erlikh,nm1109046
per0000270,Yuriy Olesha,nm0646316
per0000271,Aleksandr Macheret,nm0532591
per0000272,Georgi Bajdukov,nm1220238
per0000273,Evgeniy Shvarts,nm0796065
per0000274,May Edginton,nm0249317
per0000275,Paul Bern,nm0075960
per0000276,Bohumil Stepánek,nm0795485
per0000277,Aleksandr Slonimsky,nm1032769
per0000278,Noël Coward,nm0002021
per0000279,Saghatel Harutyunyan,nm1344922
per0000280,Amo Bek-Nazaryan,nm0067384
per0000281,Yakov Dukor,nm0241258
per0000282,Vadim Distler,nm5815791
per0000283,Valentina Brumberg,nm0115912
per0000284,Zinaida Brumberg,nm0115913
per0000285,Aleksey Simukov,nm0801411
per0000286,Valerian Moskalevich,nm3508029
per0000287,Aleksandr Raskin,nm0711222
per0000288,Moris Slobodskoy,nm0806099
per0000289,Eberhard Keindorff,nm0445123
per0000290,Johanna Sibelius,nm0796242
per0000291,Fritz Staudte,nm0823905
per0000292,Pyotr Ershov,nm1591054
per0000293,Mstislav Pashchenko,nm0664536
per0000294,Viktor Ardov,nm0034118
per0000295,Akaki Beliashvili,nm0067857
per0000296,Konstantin Eggert,nm0250955
per0000297,Honoré de Balzac,nm0051304
per0000298,Colette Audry,nm0041640
per0000299,René Clément,nm0167496
per0000300,Evgeny Veisman,nm6646936
per0000301,Ilya Bachelis,nm11403602
per0000302,Fyodor Kiselev,nm8865299
per0000303,Mikhail Maklyarsky,nm0538677
per0000304,Konstantin Isaev,nm0410725
per0000305,Samuil Marshak,nm0550697
per0000306,Federico Fellini,nm0000019
per0000307,Sergio Amidei,nm0024847
per0000308,Roberto Rossellini,nm0744023
per0000309,Ivan Pravov,nm0695604
per0000310,Olga Preobrazhenskaya,nm0696049
per0000311,Boris Laskin,nm0489642
per0000312,V. Volkenshtejn,nm1703728
per0000313,Vladimir Volkenshtein,nm10992027
per0000314,Georgi Venetsianov,nm0893055
per0000315,G. Blaushtein,nm14163759
per0000316,Pyotr Kapitsa,nm4611468
per0000317,Korney Ivanovich Chukovskiy,nm0161063
per0000318,Konstantin Zolotovskiy,nm7298224
per0000319,Giorgi Tsagareli,nm0874604
per0000320,Sergey Yakushev,nm3647497
per0000321,Oleg Sergeyev,nm0785109
per0000322,Ghazaros Aghayan,nm1345455
per0000323,Sergey Mikhalkov,nm0586483
per0000324,August Jakobson,nm0415956
per0000325,Oleksiy Novitskiy,nm11871513
per0000326,Mikhail Rosenberg,nm0742287
per0000327,Izzat Sultanov,nm0838468
per0000328,Ivan Pyrev,nm0701576
per0000329,Vladimir Nemolyayev,nm0625984
per0000330,Aleksandr Andriyevsky,nm0029049
per0000331,Alois Jirásek,nm0423173
per0000332,Vladimír Borský,nm0097487
per0000333,Moisey Kotov,nm6945502
per0000334,Boris Lavrenyev,nm0492239
per0000335,Vadim Kozhevnikov,nm0468840
per0000336,Arkadi Perventsev,nm0675789
per0000337,Vilis Lacis,nm6641099
per0000338,Leonid Malyugin,nm0540946
per0000339,Mario Bonnard,nm0094801
per0000340,Michel Simon,nm0800302
per0000341,Carmine Gallone,nm0303120
per0000342,Giuseppe Giacosa,nm0316044
per0000343,Alessandro De Stefani,nm0211847
per0000344,Aleksey Sazonov,nm0768570
per0000345,Sergei Sploshnov,nm0819274
per0000346,Valentin Ezhov,nm0947899
per0000347,Vasiliy Solovyov,nm0813537
per0000348,Esfir Buranova,nm0120708
per0000349,Florián Rey,nm0721074
per0000350,Prosper Mérimée,nm0617737
per0000351,Philipp Lothar Mayring,nm0563030
per0000352,Willi Forst,nm0286924
per0000353,Axel Eggebrecht,nm0250870
per0000354,Baimbet Mailin,nm1137141
per0000355,Gabit Musrepov,nm0615816
per0000356,Rudolph Bernauer,nm0076587
per0000357,Irma von Cube,nm0902121
per0000358,Carl Haffner,nm1194749
per0000359,Richard Genée,nm0313252
per0000360,Fyodor Panfyorov,nm1195874
per0000361,Nicolas Farkas,nm0267591
per0000362,Pierre Frondaie,nm0296390
per0000363,Henri Decoin,nm0213940
per0000364,Franz Eichhorn,nm0251523
per0000365,Ernst von Salomon,nm0902917
per0000366,Eduard von Borsody,nm0902025
per0000367,Aleksandr Ptushko,nm0699693
per0000368,Sigizmund Krzhizhanovsky,nm6901796
per0000369,Aleksandr Fadeyev,nm0264923
per0000370,Harald Braun,nm0105774
per0000371,Jacob Geis,nm0312002
per0000372,Franz-Jürgen Kleinert,nm0459083
per0000373,Guido Cantini,nm0134595
per0000374,Boris Polevoy,nm0689011
per0000375,Niko Lomouri,nm0518605
per0000376,Carlo Gogodze,nm0324687
per0000377,Konstantine Pipinashvili,nm0684978
per0000378,Hans Klaehr,nm0458155
per0000379,Thea von Harbou,nm0902376
per0000380,Richard Eichberg,nm0251456
per0000381,Arnold Krieger,nm0471188
per0000382,Kurt Heuser,nm0381881
per0000383,Harald Bratt,nm0105564
per0000384,Lucio D&#x27;Ambra,nm0195076
per0000385,Iván Boldizsár,nm0092803
per0000386,Hans Steinhoff,nm0826094
per0000387,V. Tornius,nm0868193
per0000388,Karl Köstlin,nm0478042
per0000389,Friedrich Schreyvogel,nm0775370
per0000390,Albrecht Joseph,nm0430538
per0000391,Vasiliy Belyayev,nm0067610
per0000392,Yevgeni Kriger,nm0471281
per0000393,Rolf Lauckner,nm0490716
per0000394,Eduard Mörike,nm2567669
per0000395,Joachim Friedrich Bremer,nm0107076
per0000396,Eva Leidmann,nm0500125
per0000397,Paul Martin,nm0552871
per0000398,E. Strzygowski,nm0835471
per0000399,Richard Billinger,nm0082453
per0000400,Corrado Alvaro,nm0959617
per0000401,Henrik Ibsen,nm0406585
per0000402,Oswald Richter-Tersik,nm0725393
per0000403,Werner Eplinius,nm0258314
per0000404,Lotte Neumann,nm0226879
per0000405,Walter Wassermann,nm0913712
per0000406,Hans Neumann,nm0627056
per0000407,Erich Ebermayer,nm0248108
per0000408,Gustave Flaubert,nm0281306
per0000409,Khwaja Ahmad Abbas,nm0007815
per0000410,Krishan Chander,nm0151300
per0000411,Bijon Bhattacharya,nm0080346
per0000412,Luis Trenker,nm0872112
per0000413,Boris Lapin,nm0487557
per0000414,Zakhar Khatsrevin,nm0451516
per0000415,Nikolai Virta,nm0899440
per0000416,Herbert Selpin,nm0783509
per0000417,Hansi Köck,nm0477788
per0000418,Olga Forsch,nm6820028
per0000419,Isidor Vinokurov,nm8586617
per0000420,Valentina Ladygina,nm0480646
per0000421,Gerda Schneider,nm0773823
per0000422,Wanda Jakubowska,nm0416049
per0000423,Wolf Neumeister,nm0627169
per0000424,Nicola Rohn,nm0737550
per0000425,Hans Bertram,nm0078313
per0000426,I. Zilbershtein,nm0956456
per0000427,Jirí Weiss,nm0919041
per0000428,Miloslav Fábera,nm0299566
per0000429,Josef Mach,nm0532385
per0000430,Vineta Klinger,nm2327339
per0000431,Mór Jókai,nm0433584
per0000432,Ignaz Schnitzer,nm0774207
per0000433,Max W. Kimmich,nm0454024
per0000434,Franz Baumann,nm2650301
per0000435,Toni Huppertz,nm0403289
per0000436,Peter Francke,nm0290467
per0000437,Hans Rehfisch,nm0716825
per0000438,Emil Burri,nm0123110
per0000439,Georg Zoch,nm0957538
per0000440,Bobby E. Lüthge,nm0530731
per0000441,Victor A. Turin,nm0877111
per0000442,Vsevolod Pavlovskiy,nm1248878
per0000443,Leopold Lahola,nm0481605
per0000444,Ruzena Fischerova,nm1921684
per0000445,Ralph Staub,nm0823864
per0000446,H.A. Lettow,nm0504816
per0000447,Ernst Schäfer,nm0778049
per0000448,Karl Ziak,nm0955936
per0000449,Arnold Fanck,nm0266691
per0000450,István Békeffy,nm0126764
per0000451,Andor Gábor,nm0350602
per0000452,Károly Bakonyi,nm0049201
per0000453,Vladimir Kreps,nm0470894
per0000454,Fricis Rokpelnis,nm0737999
per0000455,Paul Josef Cremers,nm1163994
per0000456,Georg Mühlen-Schulte,nm0618066
per0000457,Hans Rameau,nm0254690
per0000458,Géza von Cziffra,nm0025926
per0000459,Arkadi Movzon,nm0610237
per0000460,Hans Testrup,nm0856496
per0000461,Walter von Hollander,nm0902449
per0000462,Werner Illing,nm0407812
per0000463,Mario Costa,nm0182244
per0000464,Mario Monicelli,nm0598102
per0000465,Giovanna Soria,nm0814958
per0000466,Heinrich Seiler,nm0782592
per0000467,Hans H. Zerlett,nm0955072
per0000468,Hans Fritz Beckmann,nm0065826
per0000469,Georg C. Klaren,nm0458283
per0000470,Pál Szabó,nm0843655
per0000471,Sándor Dallos,nm0198115
per0000472,Aleksandr Popov,nm0691318
per0000473,Hans Gustl Kernmayr,nm0449574
per0000474,Ivan Novokshenov,nm0637210
per0000475,Abel Gance,nm0304098
per0000476,Steve Passeur,nm0664882
per0000477,Otakar Vávra,nm0904706
per0000478,Jan Drda,nm0237319
per0000479,Ludwik Starski,nm0823650
per0000480,Jan Fethke,nm0275312
per0000481,Lev Oshanin,nm0651885
per0000482,Tibor Méray,nm0617716
per0000483,Gyula Háy,nm0405428
per0000484,Nina Nechvolodova,nm3893415
per0000485,Leonid Reznichenko,nm3079415
per0000486,Vladimír Vlcek,nm0900671
per0000487,Viktor Poltorosky,nm1773677
per0000488,Kurt Maetzig,nm0535512
per0000489,Berta Waterstradt,nm0914214
per0000490,Evgeniy Ivanov-Barkov,nm0412107
per0000491,Ludwig Turek,nm0877012
per0000492,Hans Joachim Beyer,nm0079913
per0000493,Slatan Dudow,nm0240201
per0000494,J.L. Hodson,nm0388349
per0000495,Louis Daquin,nm0200877
per0000496,Vladimir Pozner,nm0694792
per0000497,Tikhon Syomushkin,nm0843452
per0000498,Wolfgang Staudte,nm0823906
per0000499,Erwin Klein,nm0458740
per0000500,Imre Bóka,nm1338546
per0000501,Judit Beczássy,nm0065923
per0000502,Imre Bencsik,nm0070383
per0000503,Aleksandr Razumovsky,nm0713681
per0000504,Luigi Bartolini,nm0059030
per0000505,Cesare Zavattini,nm0953790
per0000506,Oreste Biancoli,nm0080755
per0000507,Tamás Banovich,nm0052476
per0000508,István Nagy,nm1326244
per0000509,Péter Bacsó,nm0045880
per0000510,Siko Dolidze,nm0231030
per0000511,Giorgi Leonidze,nm0503073
per0000512,Davit Rondeli,nm0740000
per0000513,Alexandre Dumas,nm0241416
per0000514,Pietro Solari,nm0812731
per0000515,Guglielmo Santangelo,nm0763376
per0000516,Charles Spaak,nm0816458
per0000517,Georg Wildhagen,nm0928674
per0000518,Beaumarchais,nm0064559
per0000519,Lorenzo da Ponte,nm0196153
per0000520,Nina Agadzhanova,nm0012810
per0000521,Tadeusz Kanski,nm0437865
per0000522,Aldo Vergano,nm0894022
per0000523,Umberto Barbaro,nm0053260
per0000524,Yiyan Yang,nm2059334
per0000525,Karel J. Benes,nm0070900
per0000526,Milos Václav Kratochvíl,nm1007428
per0000527,Alfred Böttcher,nm1148055
per0000528,Kvetoslav F. Sedlacek,nm1919851
per0000529,Chen Bo&#x27;er,nm1972399
per0000530,Franz Gribitz,nm0340813
per0000531,Erich Meder,nm0575534
per0000532,Gustav von Wangenheim,nm0903194
per0000533,Wolff von Gordon,nm0902324
per0000534,Carlo Castelli,nm0144772
per0000535,Ruggero Leoncavallo,nm0502851
per0000536,Ming Yi,nm0947937
per0000537,Ban Lü,nm0523700
per0000538,Ingeborg Ewald,nm1627224
per0000539,Bruno Kleberg,nm1450337
per0000540,Boris Romashov,nm1228765
per0000541,Orlin Vasilyev,nm0890572
per0000542,Nikola Ikonomov,nm1109538
per0000543,Leonid Varlamov,nm0890030
per0000544,Friedrich Wolf,nm0937753
per0000545,Richard Sasuly,nm0766075
per0000546,Philipp Gecht,nm0311424
per0000547,Pierre Laroche,nm0488435
per0000548,Gabriel Chevallier,nm0156687
per0000549,Anna Abramova,nm0009123
per0000550,Mikhail Sholokhov,nm0794804
per0000551,Alessandro Cicognini,nm0006007
per0000552,Lewis R. Foster,nm0287931
per0000553,Myles Connolly,nm0175333
per0000554,Sidney Buchman,nm0118227
per0000555,Vasiliy Azhaev,nm1462326
per0000556,Clarence Budington Kelland,nm0445502
per0000557,Robert Riskin,nm0728307
per0000558,Giorgi Gulya,nm0347875
per0000559,Nikoloz Sanishvili,nm0762786
per0000560,Horace McCoy,nm0566752
per0000561,O.B. Stade,nm0821108
per0000562,Edgecumb Pinchon,nm0683874
per0000563,Ben Hecht,nm0372942
per0000564,Frantisek Zácek,nm5600981
per0000565,Jean Aurenche,nm0042179
per0000566,Pierre Bost,nm0098204
per0000567,Johannes Mario Simmel,nm0799605
per0000568,Krystyna Swinarska,nm0842667
per0000569,Vasek Kána,nm0437696
per0000570,Eugeniusz Cekalski,nm0147902
per0000571,Nikolai Dalyokij,nm0198529
per0000572,Jirí Benes,nm1325857
per0000573,Miloslav Koenigsmark,nm1323302
per0000574,Aleksandr Galich,nm0302090
per0000575,Judit Máriássy,nm0617266
per0000576,Adorján Stella,nm0826289
per0000577,Imran Qasimov,nm1165525
per0000578,Jerzy Nel,nm0624991
per0000579,Bronislaw Brok,nm0111217
per0000580,Michal Rusinek,nm1421646
per0000581,Jirí Fried,nm0294959
per0000582,Antonín Zápotocký,nm8679690
per0000583,Frantisek A. Dvorák,nm1117976
per0000584,Vladimir Alekseev,nm0017964
per0000585,Jerzy Andrzejewski,nm0029156
per0000586,Czeslaw Milosz,nm0590542
per0000587,Jerzy Zarzycki,nm0953635
per0000588,Samuel Ornitz,nm0650338
per0000589,Boris Ingster,nm0409069
per0000590,Frederick J. Jackson,nm0413531
per0000591,Stanislaw Rózewicz,nm0753873
per0000592,Jan Rybkowski,nm0752982
per0000593,Jerzy Waldorff,nm0907266
per0000594,I. Prok,nm12876142
per0000595,Andrey Malyshko,nm14170958
per0000596,Yin Cheng,nm0155645
per0000597,Otakar Kirchner,nm1523763
per0000598,Roger Burford,nm0121104
per0000599,Ernest Betts,nm0079431
per0000600,Semyon Babayevskiy,nm0045164
per0000601,Leon Kruczkowski,nm0472457
per0000602,Mircea Stefanescu,nm0824951
per0000603,Lazar Yudin,nm0950663
per0000604,Sándor Nádas,nm0638945
per0000605,Kálmán Mikszáth,nm0586690
per0000606,Robert Presnell Sr.,nm0696190
per0000607,Richard Connell,nm0175028
per0000608,Emilio Fernández,nm0273477
per0000609,Mauricio Magdaleno,nm0535796
per0000610,Semyon Artemovsky,nm1856841
per0000611,Angel Wagenstein,nm0883074
per0000612,Roman Niewiarowicz,nm0631395
per0000613,Ivan Kavaleridze,nm0442519
per0000614,Iwan Kotlyarevsky,nm0467738
per0000615,Choui Khoua,nm0451874
per0000616,Yusheng Liang,nm1295635
per0000617,Bin Wang,nm2051582
per0000618,Giuseppe Guido Lo Schiavo,nm0516264
per0000619,Giuseppe Mangione,nm0542247
per0000620,P.S. Fedorov,nm1715546
per0000621,István Örkény,nm0960115
per0000622,Hans Leberecht,nm1847895
per0000623,Mario Camerini,nm0131460
per0000624,Piero Tellini,nm0854502
per0000625,Ya. Maksimenko,nm0561580
per0000626,William Quindt,nm0703685
per0000627,Harry Piel,nm0682176
per0000628,Satyajit Ray,nm0006249
per0000629,Swarnakamal Bhattacharya,nm0080368
per0000630,Doo-Hyeon Yoon,nm9928933
per0000631,Alex Joffé,nm0423644
per0000632,Jean-Paul Le Chanois,nm0237836
per0000633,Marieluise Steinhauer,nm1151174
per0000634,Richard Nicolas,nm0630292
per0000635,Hermann Turowski,nm2139973
per0000636,Peter Bejach,nm1304158
per0000637,Stanislaw Urbanowicz,nm0881698
per0000638,Gustaw Morcinek,nm0603259
per0000639,Geoffrey Toye,nm0870296
per0000640,W.S. Gilbert,nm0318275
per0000641,Mikhail Dolgopolov,nm1462095
per0000642,Grigori Yaron,nm0946500
per0000643,Zhenzhi Wang,nm12184335
per0000644,Cyril Hume,nm0401738
per0000645,Edgar Rice Burroughs,nm0123194
per0000646,Ivor Novello,nm0637040
per0000647,Nikolai Ekk,nm0252388
per0000648,Andrey Frolov,nm0296285
per0000649,Jack Cummings,nm0191901
per0000650,Petru Dumitriu,nm0241577
per0000651,Károly Nóti,nm0639130
per0000652,Sándor Hunyady,nm0403216
per0000653,Heinrich Mann,nm0542777
per0000654,Carlo Alberto Chiesa,nm0157334
per0000655,Alfredo Bracchi,nm1345696
per0000656,Dino Falconi,nm0266035
per0000657,Dalibor C. Faltys,nm0266546
per0000658,Vladimír Cech,nm0147677
per0000659,Bozena Nemcová,nm0625846
per0000660,Noel Langley,nm0486538
per0000661,Frances Marion,nm0547966
per0000662,Rida Johnson Young,nm0949995
