film_id,title (original),Year of Production,Duration (min),IMDB id
flm0000132,Наш кандидат Н. Л. Булганин,,,
flm0000133,Новости дня № 6 1946 г.,,,
flm0000134,Новости дня № 7 1946 г.,,,
flm0000135,Новости дня № 8 1946 г.,,,
flm0000136,Жди меня,1943,90,tt0036558
flm0000137,"Edison, the Man",1940,107,tt0032432
flm0000138,Последняя ночь,1937,98,tt0028131
flm0000139,Зигмунд Колосовский,1946,78,tt0038272
flm0000140,Небесные гости,,,
flm0000141,Земля в пространстве,,,
flm0000142,Черевички,1945,84,tt5125104
flm0000143,Танцы народов СССР,,,
flm0000144,Give Us This Night,1936,73,tt0027680
flm0000145,Музыкальная история,1940,84,tt0032825
flm0000146,Новости дня № 10 1946 г.,,,
flm0000147,Новости дня № 11 1946 г.,,,
flm0000148,Наука и техника №63 1946 г.,,,
flm0000149,Это было в Донбассе,1945,,tt0037684
flm0000150,Освобожденная Чехословакия,1945,73,tt18592290
flm0000151,Опыты академика Павлова,,,
flm0000152,Иудушка Головлев,1934,70,tt0164542
flm0000153,Мы из Кронштадта,1936,88,tt0028012
flm0000154,Новости дня № 12 1946 г.,,,
flm0000155,Новости дня № 13 1946 г.,,,
flm0000156,Elephant Boy,1937,80,tt0028827
flm0000157,Кармелюк,1938,80,tt6689322
flm0000158,Каин и Артем,1930,85,tt0130054
flm0000159,"Здравствуй, Москва!",1945,80,tt0038594
flm0000160,Новости дня № 14 1946 г.,,,
flm0000161,Возвращение,1940,72,tt0240187
flm0000162,Советский спорт № 1 1946 г.,,,
flm0000163,Пышка,1934,70,tt0025691
flm0000164,Монголия,,,
flm0000165,Коллежский регистратор,1925,94,tt0015997
flm0000166,Юные музыканты,,,
flm0000167,The Three Musketeers,1939,73,tt0032028
flm0000168,Пятнадцатилетний капитан,1946,83,tt0038841
flm0000169,Трактористы,1939,84,tt0032050
flm0000170,Таджикистан,1946,,tt0240070
flm0000171,Советские спортсмены в Норвегии,,,
flm0000172,Небесный тихоход,1946,83,tt0129257
flm0000173,Господин Великий Новгород,,,
flm0000174,Under Your Spell,1936,62,tt0028443
flm0000175,Пионерия № 2 1946 г.,,,
flm0000176,Мои университеты,1940,90,tt0032802
flm0000177,Закройщик из Торжка,1925,65,tt0016559
flm0000178,Юбилей,1944,40,tt0037477
flm0000179,Хирургия,1939,37,tt6620158
flm0000180,На процессе главных военных преступников в Нюрнберге,,,
flm0000181,Владимир Маяковский,,,
flm0000182,Чайковский,,,
flm0000183,В дальнем плавании,1946,91,tt0306181
flm0000184,Советское искусство,,,
flm0000185,"Будем, как Ленин",,,
flm0000186,Георгий Саакадзе 1 серия,1942,184,tt0034781
flm0000187,Каменный цветок,1946,89,tt0038666
flm0000188,Волга-Волга,1938,108,tt0030947
flm0000189,Иран,,,
flm0000190,Советский спорт №3 1946 г.,,,
flm0000191,Советский спорт № 3 1946 г.,,,
flm0000192,Новости дня № 24 1946 г.,,,
flm0000193,Новости дня № 25 1946 г.,,,
flm0000194,Новости дня № 26 1946 г.,,,
flm0000195,Новые похождения Швейка,1943,66,tt0036221
flm0000196,Девушка с характером,1939,87,tt0239342
flm0000197,Последний аттракцион,1929,79,tt5587450
flm0000198,Беспокойное хозяйство,1946,85,tt0038350
flm0000199,Первое мая 1946 года,,,
flm0000200,Солнечное племя,,,
flm0000201,Кащей Бессмертный,1945,73,tt0167227
flm0000202,Высокая награда,1939,97,tt0337446
flm0000203,Сила жизни,,,
flm0000204,Югославия,1946,,tt0240238
flm0000205,Сыновья,1946,89,tt0039006
flm0000206,The Great Waltz,1938,104,tt0030202
flm0000207,Bambi,1942,69,tt0034492
flm0000208,Наездник из Кабарды,,,
flm0000209,The Thief of Bagdad,1940,106,tt0033152
flm0000210,Гроза,1934,85,tt0025207
flm0000211,Случай в вулкане,1941,63,tt0034201
flm0000212,Человек из ресторана,,,
flm0000213,Цветущий сад,,,
flm0000214,Детство Горького,1938,98,tt0030055
flm0000215,В людях,1939,100,tt0032086
flm0000216,The Men in Her Life,1941,89,tt0033900
flm0000217,Максим Горький,,,
flm0000218,Новости дня № 32 1946 г.,,,
flm0000219,Новости дня № 33 1946 г.,,,
flm0000220,Пребывание советской делегации иностранных дел в Париже,,,
flm0000221,Враги 1 серия,1953,158,tt0046526
flm0000222,Враги 2 серия,1953,158,tt0046526
flm0000223,Мечта,1943,100,tt0033889
flm0000224,Аринка,1939,82,tt0239240
flm0000225,Восстановители магистрали,,,
flm0000226,Богатая невеста,1938,93,tt0029932
flm0000227,Золотой ключик,1939,70,tt0032162
flm0000228,Антон Иванович сердится,1941,80,tt0033346
flm0000229,Освобожденная земля,1946,83,tt0038811
flm0000230,Проводы советских войск в Иране,,,
flm0000231,Новости дня № 36 1946 г.,,,
flm0000232,Большая вселенная,,,
flm0000233,По щучьему велению,1938,60,tt0030593
flm0000234,Новости дня № 37 1946 г.,,,
flm0000235,Два бойца,1943,75,tt0036782
flm0000236,Мультипликационные фильмы,,,
flm0000237,Дети капитана Гранта,1936,83,tt0027516
flm0000238,Веселые ребята,1934,96,tt0025946
flm0000239,Новости дня № 38 1946 г.,,,
flm0000240,Василиса Прекрасная,1940,72,tt0167474
flm0000241,Международная солидарность женщин - большая сила,,,
flm0000242,Давид Гурамишвили,1946,87,tt0236138
flm0000243,Новости дня № 39 1946 г.,,,
flm0000244,Новости дня № 40 1946 г.,,,
flm0000245,Новости дня № 41 1946 г.,,,
flm0000246,Ночь в сентябре,1939,,tt0031728
flm0000247,Депутат Балтики,1937,107,tt0027509
flm0000248,Морской ястреб,1941,72,tt0239667
flm0000249,Клятва,1946,98,tt0038673
flm0000250,Фронтовой кинооператор Сушинский,1946,20,tt6641376
flm0000251,Во имя Родины,1943,94,tt0036505
flm0000252,Новости дня № 42 1946 г.,,,
flm0000253,Арсен,1937,95,tt0169566
flm0000254,Новости дня № 43 1946 г.,,,
flm0000255,Девушки Ленинграда,,,
flm0000256,Jungle Book,1942,108,tt0034928
flm0000257,Воздушный десант,,,
flm0000258,Партийный билет,1936,108,tt0028089
flm0000259,Специальные выпуски о международном футбольном матче,,,
flm0000260,Донбасс,1945,,tt2238550
flm0000261,Новости дня № 47 1946 г.,,,
flm0000262,Синегория,1946,88,tt0297395
flm0000263,Дубровский,1936,75,tt0027554
flm0000264,Петербургская ночь,1934,104,tt0025648
flm0000265,Тринадцать,1937,90,tt0028413
flm0000266,Богдан Хмельницкий,1941,114,tt0033422
flm0000267,The North Star,1943,108,tt0036217
flm0000268,Златые горы,1931,129,tt0022595
flm0000269,Белый клык,1946,84,tt0166520
flm0000270,"День Авиации, праздник на Тушинском аэродроме 18 августа 1946 г.",,,
flm0000271,Новости дня № 49 1946 г.,,,
flm0000272,Tsogt taij,1945,155,tt0851564
flm0000273,Новости дня № 50 1946 г.,,,
flm0000274,Бабы,1940,88,tt0265059
flm0000275,Новости дня № 51 1946 г.,,,
flm0000276,Новости дня № 52 1946 г.,,,
flm0000277,Родные поля,1945,95,tt0175947
flm0000278,Молодость нашей страны,1946,51,tt0171539
flm0000279,Новости дня № 53 1946 г.,,,
flm0000280,Земля вертится,,,
flm0000281,Затмение солнца и луны,,,
flm0000282,Живая клетка,,,
flm0000283,Нервная система,,,
flm0000284,Сердце человека,,,
flm0000285,Органы движения,,,
flm0000286,Кровь,,,
flm0000287,Регуляторы жизни,,,
flm0000288,Советский спорт № 10 1946 г.,,,
flm0000289,Советский спорт № 11 1946 г.,,,
flm0000290,Таинственный остров,1941,88,tt0034260
flm0000291,Сын полка,1946,73,tt0039005
flm0000292,День таксистов,,,
flm0000293,Сибирь,,,
flm0000294,Советская Якутия,,,
flm0000295,Ущелье Аламасов,1937,,tt0187569
flm0000296,Советская Хакассия,,,
flm0000297,В горах Югославии,1946,85,tt0038638
flm0000298,Удмуртия,,,
flm0000299,Новости дня № 57 1946 г.,,,
flm0000300,Новости дня № 58 1946 г.,,,
flm0000301,Новости дня № 59 1946 г.,,,
flm0000302,Человек №217,1945,91,tt0037589
flm0000303,К пребыванию в Москве участников сессии Исполкома Международной Демократической Федерации женщин,,,
flm0000304,Советский спорт № 12 1946 г.,,,
flm0000305,Советский спорт № 13 1946 г.,,,
flm0000306,Новости дня № 62 1946 г.,,,
flm0000307,Суд народов,1946,58,tt0244109
flm0000308,День артиллерии,,,
flm0000309,Кубок СССР по футболу,,,
flm0000310,Мастера сцены (МХАТ),1947,81,tt0038732
flm0000311,Пребывание в Москве делегации депутатов законодательного собрания Чехословацкой Республики,,,
flm0000312,Пятый океан,1940,,tt0232418
